Number,Dept,Professor,Median Grade,Semester,# of Students,Notes
1,AAS 2130,Chang,A,FA21,52,"crosslisted with AMST 2640, HIST 2640"
289,ENGL 1158,Rhee,A,FA21,17,
585,PLBIO 2300,Nixon,A,FA21,13,
287,ENGL 1105,Various (FWS),A+,FA21,49,
286,EDUC 2610,Steinhall,A,FA21,86,
284,ECON 4660,O'Donoghue,B+,FA21,139,
282,ECON 4260,Wissink,B+,FA21,70,
586,PLBIO 2400,Silva,A+,FA21,469,
277,ECON 3130,McKee,A-,FA21,137,goat
275,ECON 3110,Diccicio,A,FA21,123,
274,ECON 3040,Taschereau-Dumouchel,B+,FA21,156,
587,PLSCI 1101,Miller,A-,FA21,55,"Great professor, ta's do all the grading and phd student does the final project"
269,ECON 1120,Wissink,B+,FA21,283,
266,ECON 1110,Sanders/Thomas,B+,FA21,889,
263,ECE 4450,Wicker,A,FA21,49,
258,ECE 2720,Krishnamurthy,A,FA21,60,
290,ENGL 1167 (FWS: Reading Now),Codera,A,FA21,,
257,ECE 2400,Batten,A-,FA21,53,crosslisted with ENGRD 2140
584,PHYS 4481,Ginsparg,A-,FA21,24,crosslisted with CS 4812
296,ENGL 1183 (FWS: Word and Image),Various (FWS),A,FA21,99,"(Personall Recommend Robert Romero, heard Briel Felton is also really good)"
343,GOVT 1111,Kriner,B+,FA21,247,king
573,PHYS 2213,Bazarov,B+,FA21,189,
339,GERST 1210,Lischke,A-,FA21,40,
338,"GERST 1170 (FWS: Marx, Nietzsche, Freud)",Yigit,A,FA21,32,
333,FREN 2095,Menard,A,FA21,20,
332,FREN 2090,Glidja,A-,FA21,70,
328,FDSC 2500,Regenstein,A-,FA21,55,Crosslisted with JWST 2501
574,PHYS 2214,Case,A-,FA21,95,
323,ENGRI 1270,Callister,A+,FA21,69,
320,ENGRI 1200,Kourkoutis,B+,FA21,46,crosslisted with AEP 1200
318,ENGRI 1140,Van Dover,B+,FA21,63,
314,ENGRI 1101,Brenda Dietrich,A,FA21,77,
576,PHYS 2218,Wittich,A-,FA21,55,
308,ENGRD 2700,Callister,A,FA21,204,
580,PHYS 3316,Arias,B+,FA21,27,
295,ENGL 1170,Various (FWS),A,FA21,151,
256,ECE 2300,Helbling,B+,FA21,113,crosslisted with ENGRD 2300
253,ECE 2100,Shealy,A-,FA21,72,"crosslisted with ENGRD 2100, Professor Shealy's last semester teaching"
249,EAS 4470,Pendergrass,B,FA21,24,
194,CS 3220,Fan,A-,FA21,32,
193,CS 3110,Clarkson,B+,FA21,384,
190,CS 2850,Halpern/Easley,A-,FA21,519,
187,CS 2800,Schalekamp,B+,FA21,411,
184,CS 2112,Myers,A,FA21,57,
182,CS 2110,Gries/Muhlberger,B,FA21,402,
179,CS 1112,Fan,B,FA21,,
178,CS 1110,White,B+,FA21,743,
603,SOC 1101,Schnabel,A,FA21,282,
172,COML 1119,Krivitsky,A,FA21,17,
604,SOC 2070,Rich,A,FA21,141,Crosslisted with AMST 2070 and PAM 2250
167,COML 1104,Monroe,A-,FA21,34,
166,CLASS 2604,Clary,A,FA21,182,
162,CHIN 2209,George,A-,FA21,42,
197,CS 3410,Bracy,B+,FA21,242,
199,CS 4110,Sampson,A-,FA21,71,Hard but curved like crazy
204,CS 4320,Trummer,A,FA21,182,
210,CS 4414,Birman,B+,FA21,110,
247,EAS 3050,Mahowald,B+,FA21,32,"With Ault in FA19, median was an A"
590,PSYCH 1101,Pizarro,A,FA21,956,No prelims in Fall 2021 (just final and weekly quizzes & readings) 
591,PSYCH 1102,Swallow,A,FA21,289,"crosslisted with COGST 1101, LING 1170, PHIL 1910, CS1710"
