Course,Abbrev
Aerospace Studies,AIRS
Africana Studies & Research Center,ASRC
Agricultural Sciences,AGSCI
Agriculture & Life Sciences,ALS
Akkadian,AKKAD
American Indian and Indigenous Studies,AIIS
American Sign Language,ASL
American Studies,AMST
Animal Physiology & Anatomy,BIOAP
Animal Science,ANSC
Anthropology,ANTHR
Applied & Engineering Physics,AEP
Applied Economics & Management,AEM
Arabic,ARAB
Archaeology,ARKEO
Architecture,ARCH
Art,ART
Arts & Sciences,AS
Asian American Studies,AAS
Asian Studies,ASIAN
Astronomy,ASTRO
Bengali,BENGL
Biological & Environmental Engineering,BEE
Biology & Society,BSOC
Biology: General Courses,BIOG
Biomedical Engineering,BME
Biomedical Sciences,BIOMS
Biometry & Statistics,BTRY
"Bosnian, Croatian, Serbian",BCS
Burmese,BURM
Chemical Engineering,CHEME
Chemistry,CHEM
China & Asia Pacific Studies,CAPS
Chinese,CHIN
Chinese Literature,CHLIT
City & Regional Planning,CRP
Civil & Environmental Engineering,CEE
Classics,CLASS
Cognitive Science,COGST
College Scholar Program,COLLS
Communication,COMM
Comparative Literature,COML
Computer Science,CS
Cornell University General Studies,UNIV
Czech,CZECH
Design,DESIGN
Design & Environmental Analysis,DEA
Development Sociology,DSOC
Digital Technology & Practice,TECH
Dutch,DUTCH
Earth & Atmospheric Sciences,EAS
Ecology & Evolutionary Biology,BIOEE
Economics,ECON
Education,EDUC
Electrical & Computer Engineering,ECE
Engineering Communications,ENGRC
Engineering Distribution,ENGRD
Engineering General Interest,ENGRG
Engineering Introduction,ENGRI
Engineering Management,ENMGT
English,ENGL
English Language Support,ELSO
Entomology,ENTOM
Environment & Sustainability,ENVS
"Feminist, Gender & Sexuality Studies",FGSS
Fiber Science & Apparel Design,FSAD
Finnish,FINN
Food Science,FDSC
French,FREN
German Studies,GERST
Government,GOVT
Graduate Management,MGMT
Graduate Management Accounting,NACCT
Graduate Management Business Admin,NBA
Graduate Management Business Admin NYT,NBAY
Graduate Management Common Core,NCC
Graduate Management Individualized Study,NMI
Graduate Management Research,NRE
Graduate Research,GRAD
Greek,GREEK
Hebrew,HEBRW
Hindi,HINDI
History,HIST
History of Art,ARTH
Horticulture Sciences,PLHRT
Hotel Administration,HADM
Human Development,HD
Human Ecology Nondepartmental,HE
Human Resource Studies,ILRHR
Hungarian,HUNGR
Independent Major,IM
Indonesian,INDO
Industrial and Labor Relations Interdepartmental,ILRID
Information Science,INFO
International & Comparative Labor,ILRIC
International Agriculture & Rural Development,IARD
Italian,ITAL
Japanese,JAPAN
Japanese Literature,JPLIT
Jewish Studies,JWST
Kannada,KANAD
Khmer,KHMER
Korean,KOREA
Labor Economics,ILRLE
"Labor Relations, Law and History",ILRLR
Landscape Architecture,LA
Latin,LATIN
Latin American Studies,LATA
Latino Studies Program,LSP
Law,LAW
Leadership,LEAD
Learning Where you Live,UNILWYL
Legal Studies,LEGAL
"Lesbian, Gay, Bisexual & Transgender Studies",LGBT
Linguistics,LING
Materials Science & Engineering,MSE
Mathematics,MATH
Mechanical & Aerospace Engineering,MAE
Medieval Studies,MEDVL
Microbiology,BIOMI
Military Science,MILS
Molecular Biology and Genetics,BIOMG
Music,MUSIC
Natural Resources,NTRES
Naval Science,NAVS
Near Eastern Studies,NES
Nepali,NEPAL
Neurobiology & Behavior,BIONB
Nuclear Science & Engineering,NSE
Nutritional Science,NS
Operations Research & Information Engineering,ORIE
Organizational Behavior,ILROB
Performing and Media Arts,PMA
Persian,PERSN
Philosophy,PHIL
Physical Education & Athletics,PE
Physics,PHYS
Plant Biology,PLBIO
Plant Breeding,PLBRG
Plant Pathology,PLPPM
Plant Sciences,PLSCI
Policy Analysis and Management,PAM
Polish,POLSH
Portuguese,PORT
Psychology,PSYCH
Public Administration,PADM
Punjabi,PUNJB
Quechua,QUECH
Religious Studies,RELST
Romance Studies,ROMS
Russian,RUSSA
Russian Literature,RUSSL
Sanskrit,SANSK
Sanskrit Literature,SNLIT
Science & Technology Studies,STS
Sinhala,SINHA
Social Statistics,ILRST
Society for the Humanities,SHUM
Sociology,SOC
Soil & Crop Sciences,PLSCS
Spanish,SPAN
Statistical Science,STSCI
Swahili,SWAHL
Swedish,SWED
Systems Engineering,SYSEN
Tagalog,TAG
Tamil,TAMIL
Thai,THAI
Tibetan,TIBET
Toxicology,TOX
Turkish,TURK
Ukrainian,UKRAN
Urdu,URDU
Vet Med Population Medicine & Diagnostic Services,VTPMD
Veterinary Medicine BioMedical Sciences,VTBMS
Veterinary Medicine Clinical Sciences,VETCS
Veterinary Medicine Microbiology,VETMI
Veterinary Medicine Professional Curriculum,VTMED
Vietnamese,VIET
Visual Studies,VISST
Viticulture and Enology,VIEN
Wolof,WOLOF
Writing Program,WRIT
Yoruba,YORUB
Zulu,ZULU
