tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,review_quality_rating,review_difficulty_rating,review_class,review
Architecture,298,Cornell University,Mustafa,,Abadan,2510713,0,zero,TEACHER,PROFESSOR,N/A,,,,
Mathematics,298,Cornell University,Salam,,Abdus,1053274,10,poor,TEACHER,PROFESSOR,2.5,4.5,4.5,PAM210,"Worst Professor ever, but it was they easiest class at Cornell"
Fine Arts,298,Cornell University,Nidaa,,Aboulhosn,2700057,0,zero,TEACHER,PROFESSOR,N/A,,,,
Economics,298,Cornell University,John,,Abowd,183393,88,average,TEACHER,PROFESSOR,3.1,4.5,4.5,ECON101,"that himeself ,rubbish classcm1029."
Chemistry,298,Cornell University,Hector,,Abruna,179459,35,poor,TEACHER,PROFESSOR,2.1,,,CHEM2090,"Abru\xc3\xb1a clearly isn't all that interested in teaching at this point in his career. His lectures are dry, the course homework doesn't prepare you much for the exams, and the exams are brutal with targeted 50% medians. During the Chegg scandals, he did nothing to find cheaters and instead canceled the final exam. I'm so lucky I got to take it S/U."
Social Science,298,Cornell University,Dorit,,Abusch,277351,11,poor,TEACHER,PROFESSOR,2.0,4.0,4.0,LING4425,"Most unpleasant professor I've had. She provided no avenues through which to help her students (never responded to emails, prohibited student collaboration, no TA, no office hours), and she talked down to students who asked questions. Frequently singled out students in class with no clear intention but to say what they had done wrong. Unacceptable."
Languages,298,Cornell University,Hom,Prasad,Acharya,2652833,0,zero,TEACHER,PROFESSOR,N/A,,,,
Engineering,298,Cornell University,Jayadev,,Acharya,2478003,3,good,TEACHER,PROFESSOR,4.0,5.0,5.0,ECE4200,"Literally such an amazing professor! Super enthusiastic about what he is teaching, always encourages questions. He really makes everyone feel really positive about coming to his class. His lectures are AMAZING, but somehow he always apologizes. \n\nMy absolute favorite professor (+most humorous professor) at Cornell!"
African Studies,298,Cornell University,Gerard,,Aching,2770742,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,ARSC3010,"He is a solid professor overall and likes to answer questions. He does not give rubrics for his few graded assignments. I found that he contradicted himself sometimes ideologically and seemed to respect his own ideas more than students' or just had a hard time relating. He says he is understanding but also puts you off a bit too, so tread lightly."
Hotel amp Restaurant Management,298,Cornell University,Aaron,,Adalja,2350501,0,zero,TEACHER,PROFESSOR,N/A,,,,
Hotel & Restaurant Management,298,Cornell University,Aaron,,Adalja,2350519,13,good,TEACHER,PROFESSOR,3.6,5.0,5.0,HADM1360,Professor Adalja was my most caring and friendly professor this semester. He grades very fairly and is always approachable. His TA's are very helpful and he frequently holds office hours. There are many grades in the class but as long as you stay ahead and pay attention you will do fine. I liked that he lets you see what you missed on exams too.
Physical Education,298,Cornell University,Bert,,Adams-Kucik,2729553,0,zero,TEACHER,PROFESSOR,N/A,,,,
Finance,298,Cornell University,Jawad,,Addoum,2533441,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,AEM4570,"Professor Addoum is one of my favorite professors in Dyson. His class (corporate finance) is, by far, one of the most useful courses I have taken. His lectures are captivating and well structured. He is reasonable and never asks you to do impossible tasks."
Literature,298,Cornell University,Leslie,,Adelson,1137104,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,GERST1109,"I had professor Adelson for my writing seminar. She was a wonderful professor, very encouraging to all her students, both in her speech and in her essay comments. She guarantees a B in this FWS as long as you do all your work, she only gives A's to those she deems have done ""superior work"". Overall, interesting topic, seminar can be dry at times"
African Studies,298,Cornell University,Adeolu,,Ademoyo,1515016,5,good,TEACHER,PROFESSOR,4.1,5.0,5.0,ASRC2110,"Compared to other language courses, this is definitely one of the best options. He is EXTREMELY disorganized which makes the course much more stressful, but he ultimately gives everyone a good grade (A- or above), unless you are really bad then maybe he'll give you a B+. Much less work than other language classes. He acts a lot and is fun also!"
Law,298,Cornell University,Lee,,Adler,533286,10,good,TEACHER,PROFESSOR,4.3,4.0,4.0,ILRLR3045,"Great professor and interesting topic, but class is unorganized. Readings and assignments are sent in long/confusing email chains. Otherwise, Prof is very knowledgeable and shares many personal stories about the topic of the day. Lots of reading, but no need to do it all. Participation/attendance and a final paper are all that grades are based on."
Asian Studies,298,Cornell University,Nick,,Admussen,2018702,8,good,TEACHER,PROFESSOR,4.7,5.0,5.0,ASIAN2212,"Prof. Admussen is one of the kindest and generous professor's I've ever met at Cornell. He makes his lectures personal enough to intrigue the class, but doesn't make the class about him and talks about Chinese history in the context of the present day and the world. Content is extremely clear and absolutely interesting!"
Engineering,298,Cornell University,Ehsan,,Afshari,972858,7,good,TEACHER,PROFESSOR,4.0,5.0,5.0,ECE2100,"Ehsan seems really smart, but he is the worst kind of professor to have. He isn't helpful outside of class, and assigns labs and homeworks that take upwards of 10 hours to complete, every week. He is great in lecture, but makes the class unbearable. "
