NS 1150,ECON 1120,Wissink,B+,, ,,
NES 2522,ECON 1110,Sanders/Thomas,B+,58,,,
MUSIC 3603,Roberts,phil,Spring 2019,46,,,
BEE 3710,Walter,No Data,Spring 2019,16,,,
BEE 4350,Timmons,No Data,Spring 2019,,,,
BTRY 4381,Yu,No Data,Fall 2019,21,,,
CS 4621,No Data,No Data,No Data,,,"A- (SP16, SP18 with Hariran (114 stud))",
CS 4670,Hariharan,No Data,Spring 2019,159,,"B+ (FA19, Hirsh) B+ (FA17, SP17, SP18, SP19), B (FA18)",
CS 4787,De Sa,No Data,Spring 2019,,,"B+ (FA19, Tardos) B+ (SP19, SP18, FA18, FA17); B (SP17, SP12); A (SP15)",
ECE 4250,No Data,No Data,No Data,,,,
NS 4200,ECON 3140,Molinari,B+,21,,"No Data (FA19, Callister) ",
NS 3410,ECON 3030,McKee,A-,191,,,
NS 3600,ECON 3120,McKee,B+,49,,,
NS 4010,ECON 3130,McKee,B+,86,Research ,,
NS 3420,ECON 3040,Mathieu,B,91,,,
NTRES 1001,ECON 3320,Lyons,B+,87,,"B (FA19, Lewis) ",
ORIE 3300,Avery,Li,A-,, ,B+ (SP 16) A- (SP 18) ,
NTRES 2010,ECON 3800,Hay,A-,105,,"A- (FA20, Avery) ",
Philippa Alexandra Chun,Professor,Grade,Semester,# of Students,Questionable? + Notes,Previous Semesters,
ASIAN 4436,Gold,Gold,Fall 2019,19,,,
NS 3450,ECON 3110,Diccicio,A+,,,,
ORIE 3150,ECON 4610,Brancaccio,B,, ,,"A (FA 17), A- (FA15, SP18, FA18), B+ (SP19)"
NTRES 3240,ECON 4250,Bottan,A,38,,"A- (FA18, Nicholson) ",
NS 3150,ECON 2801,Basu,A-,223,,,
AEP 1100,,B+,Fall 2019,28,,,
AEP 3200,Kourkoutis,B+,Spring 2019,23,,,
AEP 3330,Wickham,B+,Fall 2019,32,,"B+ (FA18, Wickham)",
AEP 3550,Xu,B+,146,29,,"B (SP18, Xu)",
AEP 3630,Kirkland,B+,Spring 2019,34,,"A (FA18, Gruner)",
AEP 4220,xu,B+,Spring 2018,45,,,
AMST 1101,Rooks,B+,Spring 2019,34,,,
BEE 2600,March,B+,Fall 2019,27,,,
BIOEE 1610,Robert Howarth,B+,Spring 2021,227, ,"A-(SP18, Searle) A- (FA18)",
BIOEE 4500,No Data,B+,Fall 2019,,,"B- (SP18, Shapleigh+Buchon+Gilbert), B+ (FA 17), B- (SP17), B (SP15), A- (FA15) C+ (FA14), B (SP19), B (FA19)",
BIOMG 2800,Goldberg/Lee/Richards,B+,Fall 2020,217, ,B+ (SP18),
BIOMG 2801,Blake,B+,Fall 2018,142,,"B+ (FA19, Blankenship)",
BIOMG 3300,Blankenship,B+,Fall 2020,233,,,
BIOMG 3310,Feigenson (retired Fall 2019),B+,Fall 2019,221,,,
BIOMG 3320,Grimson/Smolka,B+,Spring 2019,222,,,
BIOMI 3210,Hay,B+,Fall 2019,24,,,
BIONB 2220,Dietz,B+,Spring 2019,179,,,
BIONB 4140,Weiland + Linder,B+,Spring 2019,33,,,
BTRY 3020,Lloyd,B+,Spring 2019,80,,"A- (SP19), B (SP16), B+ (FA17), A- (FA18)",
BTRY 4030,Giles,B+,Fall 2018,64,,,
CEE 3710,McLaskey,B+,Spring 2019,43,,,
CHEM 2150,Davis,B+,Fall 2020,60, ,"B (FA19, Kinsland) B (SP19, FA18, SP18), all with Ruttledge",
CHEM 2510,Kinsland,B+,Fall 2020,259, ,"B (FA18, Ganem) ",
CHEM 3590,Lin,B+,Spring 2019,53,,"B+ (FA19, Milner) ",
CHEM 3900,DiStasio,B+,Spring 2018,90,,,
CHEME 2880,Paszek,B+,Fall 2019,47,,,
CHEME 3240,Yang,B+,Fall 2020,43,,,
COGST 1101,,B+,Spring 2019,285,,,
CS 1110,White,B+,Fall 2020,683,,"B+ (FA19, White) B+ (FA15), B (F 16, FA 17), A- (SP 18), B (FA 18), B+ (SP 19)",
CS 1110,White,B+,Fall 2020,683, A+ are rarely given out,"B (FA19, Fan) B (SP17, SP18, SP19)",
CS 2800,Van Zuylen,B+,Fall 2020,321, N,"B+/A- (SP19, Halpern) N/A",
CS 3420,Martinez,B+,Spring 2019,,,,
CS 4450,Agarwal,B+,Spring 2019,97,,"A- (FA19, Marschner) B (SP18)",
CS 4700,Hirsh,B+,Fall 2020,142, ,,
CS 4744,DelBusso,B+,Spring 2019,45,,,
CS 4820,Kozen,B+,Fall 2020,388, ,B+ (SP18),
CS 4850,Hopcroft,B+,Spring 2019,63,,"A (SP19, Evans) ",
DEA 2700,Wells,B+,Fall 2019,388,,,
EAS 2500,Pryor,B+,Spring 2019,10,,A- (SP11),
EAS 2680,DeGaetano,B+,Spring 2019,69,,,
ECE 2100,Pollock,B+,Fall 2019,71,,"B (SP19, Doerschuk) B (SP18 with Doerschuk)",
ECE 3100,Zhao,B+,Fall 2020,57,,"B+ (SP18, SP17)",
ECE 3140,Martinez,B+,Spring 2019,203,,"B (SP18), B+ (SP17, SP16)",
ECE 4271,Delchamps,B+,Spring 2018,43,,"B+ (FA19, Thomas) B+ (FA18), B+ (SP18)",
ECON 1110,Sanders/Thomas,B+,Fall 2020,861,,"B+ (SP18, Swallow) ",
ECON 1120,Wissink,B+,Fall 2020,283, ,,
ECON 3120,McKee,B+,Spring 2019,114,,"B+ (FA19, McKee) A- (SP19 w/ Tripp)",
