0,,,
percentage,title,count,time
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
54,Teagle Down Fitness Center,27,03/20/2022 03:43
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
56.923076923077,Noyes Fitness Center,37,03/20/2022 03:43
32,Toni Morrison Fitness Center,24,03/20/2022 03:09
1,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
70,Teagle Down Fitness Center,35,03/20/2022 04:39
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
58.461538461538,Noyes Fitness Center,38,03/20/2022 04:45
44,Toni Morrison Fitness Center,33,03/20/2022 04:42
2,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
47.692307692308,Noyes Fitness Center,31,03/20/2022 05:50
48,Toni Morrison Fitness Center,36,03/20/2022 05:45
3,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
52.307692307692,Noyes Fitness Center,34,03/20/2022 06:47
46.666666666667,Toni Morrison Fitness Center,35,03/20/2022 06:26
4,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
53.846153846154,Noyes Fitness Center,35,03/20/2022 07:44
37.333333333333,Toni Morrison Fitness Center,28,03/20/2022 07:30
5,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
55.384615384615,Noyes Fitness Center,36,03/20/2022 08:15
77.333333333333,Toni Morrison Fitness Center,58,03/20/2022 08:40
6,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
47.692307692308,Noyes Fitness Center,31,03/20/2022 09:29
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
7,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
8,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
9,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
10,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
11,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
12,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
13,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
14,,,
8.75,Helen Newman Fitness Center,7,03/18/2022 06:58
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
15,,,
37.5,Helen Newman Fitness Center,30,03/21/2022 06:49
28,Teagle Down Fitness Center,14,03/20/2022 05:18
3.0769230769231,Teagle Up Fitness Center,2,03/18/2022 06:55
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
16,,,
30,Helen Newman Fitness Center,24,03/21/2022 07:49
54,Teagle Down Fitness Center,27,03/21/2022 07:40
15.384615384615,Teagle Up Fitness Center,10,03/21/2022 07:42
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
17,,,
17.5,Helen Newman Fitness Center,14,03/21/2022 08:50
24,Teagle Down Fitness Center,12,03/21/2022 08:40
15.384615384615,Teagle Up Fitness Center,10,03/21/2022 08:50
49.230769230769,Noyes Fitness Center,32,03/20/2022 09:52
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
18,,,
17.5,Helen Newman Fitness Center,14,03/21/2022 09:49
6,Teagle Down Fitness Center,3,03/21/2022 08:59
10.769230769231,Teagle Up Fitness Center,7,03/21/2022 09:41
32.307692307692,Noyes Fitness Center,21,03/21/2022 09:42
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
19,,,
20,Helen Newman Fitness Center,16,03/21/2022 10:36
6,Teagle Down Fitness Center,3,03/21/2022 08:59
26.153846153846,Teagle Up Fitness Center,17,03/21/2022 10:43
30.769230769231,Noyes Fitness Center,20,03/21/2022 09:53
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
20,,,
22.5,Helen Newman Fitness Center,18,03/21/2022 11:49
80,Teagle Down Fitness Center,40,03/21/2022 11:40
26.153846153846,Teagle Up Fitness Center,17,03/21/2022 11:49
33.846153846154,Noyes Fitness Center,22,03/21/2022 11:40
76,Toni Morrison Fitness Center,57,03/20/2022 09:31
10,HNH Court 1,2,03/21/2022 11:27
0,HNH Court 2,0,03/21/2022 11:30
21,,,
23.75,Helen Newman Fitness Center,19,03/21/2022 12:47
60,Teagle Down Fitness Center,30,03/21/2022 12:50
21.538461538462,Teagle Up Fitness Center,14,03/21/2022 12:39
40,Noyes Fitness Center,26,03/21/2022 12:44
17.333333333333,Toni Morrison Fitness Center,13,03/21/2022 12:42
10,HNH Court 1,2,03/21/2022 11:27
0,HNH Court 2,0,03/21/2022 11:30
22,,,
25,Helen Newman Fitness Center,20,03/21/2022 12:56
62,Teagle Down Fitness Center,31,03/21/2022 01:46
13.846153846154,Teagle Up Fitness Center,9,03/21/2022 12:51
30.769230769231,Noyes Fitness Center,20,03/21/2022 01:29
26.666666666667,Toni Morrison Fitness Center,20,03/21/2022 01:38
10,HNH Court 1,2,03/21/2022 11:27
0,HNH Court 2,0,03/21/2022 11:30
23,,,
21.25,Helen Newman Fitness Center,17,03/21/2022 02:35
54,Teagle Down Fitness Center,27,03/21/2022 02:50
13.846153846154,Teagle Up Fitness Center,9,03/21/2022 12:51
23.076923076923,Noyes Fitness Center,15,03/21/2022 02:33
17.333333333333,Toni Morrison Fitness Center,13,03/21/2022 02:40
10,HNH Court 1,2,03/21/2022 11:27
0,HNH Court 2,0,03/21/2022 11:30
